Location,Hospital,Address,State,District,Pincode
Near Dollygunj Junction,Chakraborty Multi Speciality Hospital,Near Dollygunj Junction,Andaman and Nicobar Islands,South Andaman,744101
Medical Board Office,Inhs Dhanvantri,Medical Board Office,Andaman and Nicobar Islands,South Andaman,744101
Near Masjid,Maricar Hospital,Near Masjid,Andaman and Nicobar Islands,South Andaman,744103
"Lamba Line, P.B. No. 526",Pillar Health Centre,"Lamba Line, P.B. No. 526",Andaman and Nicobar Islands,South Andaman,744103
"GB Pant Road, City Centre, Port Blair","G B Pant Hospital, Port Blair","GB Pant Road, City Centre, Port Blair",Andaman and Nicobar Islands,South Andaman,744103
"Road No.1, Banjara Hills","Care Hospital, Banjara","Road No.1, Banjara Hills",Andhra Pradesh,Hyderabad,500034
"7/201, Court Road Anantapur 515001  Anantapur",Aasha Hospitals,"7/201, Court Road",Andhra Pradesh,Anantapur,515001
"10-470, Adimurthy Nagar, Opposite Guild Off Service School",Abhaya Kidney Care Multispeciality Hospital,"10-470, Adimurthy Nagar, Opposite Guild Off Service School",Andhra Pradesh,Anantapur,515001
"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur",Baby Hospital,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex",Andhra Pradesh,Anantapur,515001
"12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur",Dr Akbar Eye Hospital And Laser Centre,"12-3-234, 6Th Cross Sai Nagar",Andhra Pradesh,Anantapur,515001
"12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch,.",Dr.Ysr Memorial Hospitals,"#12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch",Andhra Pradesh,Anantapur,515001
"Sai Nagar Iind Cross,Anantapur",Hrudaya Children Hospital,Sai Nagar Iind Cross,Andhra Pradesh,Anantapur,515001
"15-381, Kamala Nagar,.","Jeevana Jyothi Hospitals Ltd.,","#15-381, Kamala Nagar",Andhra Pradesh,Anantapur,515001
Opposite Annapurna Lodge Kamalanagar,K K Nursing Home,Opposite Annapurna Lodge Kamalanagar,Andhra Pradesh,Anantapur,515001
Railway Station Road,Meda Nursing Home,Railway Station Road,Andhra Pradesh,Anantapur,515001
"12/3-269, Sai Nagar, 6Th Cross, Anantapur",Mnr Nursing Home,"12/3-269, Sai Nagar, 6Th Cross",Andhra Pradesh,Anantapur,515001
D No: 15/721 Kamala Nagar Anantapur 515001  Anantapur,Mythri Hospitals,D No: 15/721 Kamala Nagar,Andhra Pradesh,Anantapur,515001
"Aravinda Nagar, 2 Nd Cross",Padmavathi Hospital,"Aravinda Nagar, 2 Nd Cross",Andhra Pradesh,Anantapur,515001
"12-2-979,3Rd Cross, Sai Nagar, Anantapur",Pavani Multi Speciality Hospital,"12-2-979,3Rd Cross, Sai Nagar",Andhra Pradesh,Anantapur,515001
"346, Court Road,.",Prasanthi Nursing Home,"#346, Court Road",Andhra Pradesh,Anantapur,515001
"12/2/991, Sai Nagar,Main Road, Anantpur",Priya Multispeciality Hospital,"#12/2/991, Sai Nagar,Main Road",Andhra Pradesh,Anantapur,515001
"15-16, Kamala Nagar, Anantapur",Ravitej Nursing Home,"15-16, Kamala Nagar",Andhra Pradesh,Anantapur,515001
"Near R.T.C, Bus Stand, Anantapur",Santhi Nursing Home,"Near R.T.C, Bus Stand",Andhra Pradesh,Anantapur,515001
"12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital, Anantpur,",Sri Prakash Eye Hospital,"# 12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital",Andhra Pradesh,Anantapur,515001
"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross, Anantapur",Sri Sai Balaji Hospital,"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross",Andhra Pradesh,Anantapur,515001
"10/368, Sarojini Road, Anantapur",Sri Sai Kurpa Nursing Home,"10/368, Sarojini Road",Andhra Pradesh,Anantapur,515001
Anantapur,Sri Sai Venkateshwara Surgical Clinic,Anantapur,Andhra Pradesh,Anantapur,515001
"Hospital Road,Anantapur-515001",Sudhir Surgical Clinic,Hospital Road,Andhra Pradesh,Anantapur,515001
"12-2-870,1St Cross,Sai Nagar,Anantapur",Suma Eye Clinic,"12-2-870,1St Cross,Sai Nagar",Andhra Pradesh,Anantapur,515001
"12/350-A,1St Cross,Sai Nagar,Anantapur",Swetha Ent Hospital,"#12/350-A,1St Cross ,Sai Nagar",Andhra Pradesh,Anantapur,515001
"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex",Vaatsalya Hospital(Ananthapur),"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex",Andhra Pradesh,Anantapur,515001
"D. No.14/224, Kamala Nagar",Varun Children's Hospital,"D. No.14/224, Kamala Nagar",Andhra Pradesh,Anantapur,515001
"7/201, Court Road",Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),"7/201, Court Road",Andhra Pradesh,Anantapur,515001
"Navodaya Colony, Anantpur",Vijaya Nursing Home,Navodaya Colony,Andhra Pradesh,Anantapur,515001
Adimurthy Nagar Guild Of Service Road,Divyasree Hospital,Adimurthy Nagar Guild Of Service Road,Andhra Pradesh,Anantapur,515002
"12-2-865, 1St Cross, Sai Nagar",Mamatha Nursing Home,"12-2-865, 1St Cross, Sai Nagar",Andhra Pradesh,Anantapur,515004
"28-639-1, Behind Sangamesh Funtion Hall, Anantapur",Anantapuram Praja Vaidyasala,"28-639-1, Behind Sangamesh Funtion Hall",Andhra Pradesh,Anantapur,515005
"M.F. Road,.",Balaji Nursing Home,M.F. Road,Andhra Pradesh,Anantapur,515201
"Opposite R.T.C Bus Stand, Hindupur (Po) Anantapur",Dr B V Syamala Ratnam Hospiatal,"Opposite R.T.C Bus Stand, Hindupur (Po)",Andhra Pradesh,Anantapur,515201
"18-1-167, M F Road, Hindupur",Girish Multispeciality Hospital,"#18-1-167, M F Road, Hindupur",Andhra Pradesh,Anantapur,515201
"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur, Anantpur, (A.P)-515201",Shilpa Hospital,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur",Andhra Pradesh,Anantapur,515201
Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Sreenivasa Nursing Home,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Andhra Pradesh,Anantapur,515201
R.P and G.T Road Hindupur--515201,Teja Nursing Home,R.P and G.T Road Hindupur,Andhra Pradesh,Anantapur,515201
"1/531A-3, East Palem, C B Road, Tadaptri",Sharada Nursing Home and Falvia P Reddy Diagnostic,"1/531A-3, East Palem, C B Road, Tadaptri",Andhra Pradesh,Anantapur,515411
"C.B Road, Tadpatri",Sri Kanchani Hospital,"C.B Road, Tadpatri",Andhra Pradesh,Anantapur,515411
"14/10-3, Bukkapatnam Street,",Sri Veja Hospital,"14/10-3, Bukkapatnam Street,",Andhra Pradesh,Anantapur,515411
"Near Andhra Bank, Byepass Road, Kadiri",Azad Diabetic Centre,"Near Andhra Bank, Byepass Road , Kadiri",Andhra Pradesh,Anantapur,515591
"Beside Sudharsan Theatre, R.S.Road, Dharmavaram, Anantapur ()",Devi Nursing Home,"Beside Sudharsan Theatre, R.S.Road, Dharmavaram",Andhra Pradesh,Anantapur,515671
"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Spandana Hospital,"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Andhra Pradesh,Anantapur,515671
"Thilak Nagar, Guntakal",Preethi Nursing Home,"Thilak Nagar, Guntakal",Andhra Pradesh,Anantapur,515801
"2-1254/1, Officecers Line, Kongareddipalli",Babu Nursing Home - Chittoor,"2-1254/1 , Officecers Line, Kongareddipalli",Andhra Pradesh,Chittoor,517001
"22-339/2, Opposite Sbi Colony, Kongareddy Patte, Chitoor,",Dr. Agarwals Eye Hospital Ltd.,"22-339/2, Opposite Sbi Colony, Kongareddy Patte",Andhra Pradesh,Chittoor,517001
"No.17-433, Lakshmi Complex, Sundarayyar Street,Chittoor,",Dr. Ramalakshmi Nursing Home,"No.17-433, Lakshmi Complex, Sundarayyar Street",Andhra Pradesh,Chittoor,517001
"No. 20-142/1, Near Raghava Theatre, Naidu Building, Chittoor",Dr. V. K. R. Nursing Home and Scan Centre,"No. 20-142/1, Near Raghava Theatre, Naidu Building",Andhra Pradesh,Chittoor,517001
"D.No:17-284,T.V.Naidu St,.",Lakshmi Hospital,"D.No:17-284,,T.V.Naidu St",Andhra Pradesh,Chittoor,517001
2-55/1 Municipal Office Road Near New Rtc Bus Stand,Ravi Nursing Home - Chitoor,2-55/1 Municipal Office Road Near New Rtc Bus Stand,Andhra Pradesh,Chittoor,517001
"2-1250, Officers Lane,.",S.M.Clinic,"# 2-1250, Officers Lane",Andhra Pradesh,Chittoor,517001
"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office Chittoor 517001  Chittoor",Sreelatha Modern Eye Hospital And Research Centre,"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office",Andhra Pradesh,Chittoor,517001
"2-1090, Padmavathi Nagar, Piler, Chittoor",Sujatha Nursing Home,"#2-1090, Padmavathi Nagar, Piler",Andhra Pradesh,Chittoor,517001
Aragonda Thavanampalle Mandal,Apollo Hospitals Aragonda,Aragonda Thavanampalle Mandal,Andhra Pradesh,Chittoor,517129
Opp:Tn Petrol Bunk Punganur Punganur 517247  Chittoor,Balaji Hospital,Opp:Tn Petrol Bunk Punganur Punganur,Andhra Pradesh,Chittoor,517247
Gokul Theater Road Punganur Punganur 517247  Chittoor,Vijaya Nursing Home,Gokul Theater Road Punganur Punganur,Andhra Pradesh,Chittoor,517247
"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle- Chittoor ()",Balaji Multi Speciality Hospital,"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle",Andhra Pradesh,Chittoor,517325
Near Rtc Bus Stand Chittoor Madanapalli 517325  Chittoor,Bhavya Child Care Center,Near Rtc Bus Stand Chittoor Madanapalli,Andhra Pradesh,Chittoor,517325
R T C Bus Stand Madanpalle -,Bhavyas Children Hospital,R T C Bus Stand Madanpalle,Andhra Pradesh,Chittoor,517325
14/2A Ctm Road Beside Icici Bank Madanapalli 517325  Chittoor,Chandra Mohan's Nursing Home,14/2A Ctm Road Beside Icici Bank Madanapalli,Andhra Pradesh,Chittoor,517325
"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle - 517325",Desai Hospital,"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle",Andhra Pradesh,Chittoor,517325
"No. 3-153-4-3-1, Near Rtc Bus Stand,",Desai Hospital-Madanapalli,"No. 3-153-4-3-1, Near Rtc Bus Stand",Andhra Pradesh,Chittoor,517325
"Near R.T.C.Busstand,C.T.M.Road.",Emergency Hospital,"Near R.T.C.Busstand,C.T.M.Road",Andhra Pradesh,Chittoor,517325
",C.T.M.Road.",Gupta Nursing Home,C.T.M.Road,Andhra Pradesh,Chittoor,517325
"15-37, Burma St,,C.T.M. Road .",Kathasagaram Hospitals,"# 15-37, Burma St, C.T.M. Road",Andhra Pradesh,Chittoor,517325
",C.T.M.Road.",Leo Hospital,",,C.T.M.Road",Andhra Pradesh,Chittoor,517325
"C.T.M Road(Opp State Bank Of India) Madanapalle, Chittoor",M.V.L Hospital,C.T.M Road(Opp State Bank Of India) Madanapalle,Andhra Pradesh,Chittoor,517325
"C.T.M Road, Madanapalle",Madanapalle Hospital Pvt Ltd,"C.T.M Road, Madanapalle",Andhra Pradesh,Chittoor,517325
"Gandhi Road,Gandhi Road.",Popular Nursing Home,"Gandhi Road,,Gandhi Road",Andhra Pradesh,Chittoor,517325
"Iv-5-3, Marpoori Colony, Madanapalle",Rama Orthopaedic Nursing Home,"Iv-5-3, Marpoori Colony, Madanapalle",Andhra Pradesh,Chittoor,517325
"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle -517325",Shantharam Hospital,"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle",Andhra Pradesh,Chittoor,517325
"(A Unit Of Lvpei,), Bangalore Road, Madanpalle,",Siloam Eye Centre,"(A Unit Of Lvpei ), Bangalore Road, Madanpalle",Andhra Pradesh,Chittoor,517325
"14-26, Old Andhra Bank Building,C.T.M.Road.",Siloam Orthopaedic and Trauma Centre,"# 14-26, Old Andhra Bank Building,,C.T.M.Road",Andhra Pradesh,Chittoor,517325
"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle,Anantapur,",Sri Kaveri Speciality Hospital,"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle",Andhra Pradesh,Chittoor,517325
"Ganesh Hotel Compound, Near .R.T.C Bus Stand,Madanapalle",Usha Speciality Hospital,"Ganesh Hotel Compound , Near .R.T.C Bus Stand,Madanapalle",Andhra Pradesh,Chittoor,517325
"D No 11-70, Patel Road Chittoor Madanapalli 517325  Chittoor",Viswa Orthopaedic Hospital,"D No 11-70, Patel Road Madanapalli",Andhra Pradesh,Chittoor,517325
"Borugulabatti, Thasildhar Street Newpet",Saraswathi Maternity Nursing Home,"Borugulabatti, Thasildhar Street Newpet",Andhra Pradesh,Chittoor,517408
"Kuppam Palmaner Road,  - Chittoor",P E S Institute Of Medical Sciences and Research,Kuppam Palmaner Road,Andhra Pradesh,Chittoor,517425
"Palace Road, Kuppam",Rathna Childrens and General Hospital,"Palace Road, Kuppam",Andhra Pradesh,Chittoor,517425
"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam 517425  Chittoor",Sri Priya Nursing Home,"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam",Andhra Pradesh,Chittoor,517425
"D.No :10-15-189/I2, K.K. Layout, Tirupati, Chittoor",Apollo Multispeciality Hospital,"D.No :10-15-189/I2, K.K. Layout, Tirupati",Andhra Pradesh,Chittoor,517501
"Aragonda Apollo Hospitals, Aragonda Village, Thavanam Palli Mandal",Apollo Rural Hospitals,"Aragonda Apollo Hospitals, Aragonda Village, Thavanam Palli Mandal",Andhra Pradesh,Chittoor,517501
"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati-Ap",Asalatha Medicare Pvt Lt,"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati",Andhra Pradesh,Chittoor,517501
Tirupti (B.I.R.R.D),Balaji Institute Of Surgery Research And Rehabilit,Tirupti (B.I.R.R.D),Andhra Pradesh,Chittoor,517501
"413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati 517501  Chittoor",Balaji Orthopaedic And Trauma Hospital,"#413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati",Andhra Pradesh,Chittoor,517501
"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati,",Bhaskar Allergy and Chest Hospital,"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati",Andhra Pradesh,Chittoor,517501
"398A, Doddapuram Street, Tirupati",Clinic Nisha,"398A, Doddapuram Street, Tirupati",Andhra Pradesh,Chittoor,517501
"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road Tirupati 517501  Chittoor",Dbr And Sk Super Speciality Hospital,"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road",Andhra Pradesh,Chittoor,517501
Nehru Nagar Behind Jyothi Talkies Tirupati (Chittoor),Eye Care Centre and Contact Lens Clinic,Nehru Nagar Behind Jyothi Talkies Tirupati,Andhra Pradesh,Chittoor,517501
"10- 13, 484* 485, V.V. Mahal Road Beside Bank Of Baroda",Gayatri Hospital Tirupati,"# 10- 13, 484* 485, V.V. Mahal Road Beside Bank Of Baroda",Andhra Pradesh,Chittoor,517501
"10-13-568,Reddy and Reddy Colony,Chittoor.",Harshitha Hospital,"10-13-568,,Reddy and Reddy Colony",Andhra Pradesh,Chittoor,517501
"6-1-175A, Varadraja Nagar (Opposite Varadaraja Swamy Temple),K.T.Road",Lotus Emergency Hosptial,"6-1-175A, Varadraja Nagar (Opposite Varadaraja Swamy Temple),K.T.Road",Andhra Pradesh,Chittoor,517501
"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",M S Hospital,"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",Andhra Pradesh,Chittoor,517501
"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati,Chittoor,",M.M Hospital,"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati",Andhra Pradesh,Chittoor,517501
"20-5-746 F, Tirumala Bye Pass Road, Karlagunta",M/S Sapthagiri Eye Care Centre,"20-5-746 F, Tirumala Bye Pass Road, Karlagunta",Andhra Pradesh,Chittoor,517501
"548, R.R. Colony,Tirupati-",Manohari Nursing Home,"548, R.R. Colony,Tirupati",Andhra Pradesh,Chittoor,517501
"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati,",Meghana Hospital,"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,517501
"6-2-145, Opposite Bhavani Nagar, Anjaneya Tample",Mother Hospital,"6-2-145, Opposite Bhavani Nagar, Anjaneya Tample",Andhra Pradesh,Chittoor,517501
2-2-349 K.V. Layout,Navya Netralaya Eye Hospital,2-2-349 K.V. Layout,Andhra Pradesh,Chittoor,517501
"18-2-246, Road No-1 Abbanna Colony Tirupati",Neelima Maternity Nursing Home,"18-2-246 , Road No-1 Abbanna Colony Tirupati",Andhra Pradesh,Chittoor,517501
"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati,",Nirmala Hospitals,"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati",Andhra Pradesh,Chittoor,517501
"10-13-486, Reddy and Reddy Colony, Chittor, Tirupati,",Om Children Surgical Superspeciality Centre,"10-13-486, Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,517501
10 - 3 - 206 Kotakommala Street Tirupati,Prameela Hospital,10 - 3 - 206 Kotakommala Street Tirupati,Andhra Pradesh,Chittoor,517501
": 410, Tilak Road Tilak Road Tirupati 517501  Chittoor",Prashanth Hospital,"#: 410, Tilak Road Tilak Road Tirupati",Andhra Pradesh,Chittoor,517501
"6-7-556,Rhjare Rama Hare Krishna Road, Beside Fedaral Bank Tirupathi",Purna's Remedy Hospital - Tirupathi,"6-7-556,Rhjare Rama Hare Krishna Road, Beside Fedaral Bank Tirupati",Andhra Pradesh,Chittoor,517501
